DateTime,Value,Source
11/1/07,-140.9991,TWS Anomaly
12/1/07,-77.8536,TWS Anomaly
1/1/08,-27.1924,TWS Anomaly
2/1/08,-54.6137,TWS Anomaly
3/1/08,-41.6098,TWS Anomaly
4/1/08,34.3184,TWS Anomaly
5/1/08,-23.6245,TWS Anomaly
6/1/08,-142.4521,TWS Anomaly
7/1/08,-130.1728,TWS Anomaly
8/1/08,-110.1489,TWS Anomaly
9/1/08,19.7505,TWS Anomaly
10/1/08,-74.5786,TWS Anomaly
11/1/08,-84.9658,TWS Anomaly
12/1/08,-26.8178,TWS Anomaly
1/1/09,-22.0543,TWS Anomaly
2/1/09,-57.8947,TWS Anomaly
3/1/09,12.3265,TWS Anomaly
4/1/09,21.6048,TWS Anomaly
5/1/09,24.641,TWS Anomaly
6/1/09,-15.9894,TWS Anomaly
7/1/09,-85.9147,TWS Anomaly
8/1/09,-49.8473,TWS Anomaly
9/1/09,8.8226,TWS Anomaly
10/1/09,51.7953,TWS Anomaly
11/1/09,153.6737,TWS Anomaly
12/1/09,194.4798,TWS Anomaly
1/1/10,143.2537,TWS Anomaly
2/1/10,240.3763,TWS Anomaly
3/1/10,162.9105,TWS Anomaly
4/1/10,103.0726,TWS Anomaly
5/1/10,97.1478,TWS Anomaly
6/1/10,60.3543,TWS Anomaly
7/1/10,73.4959,TWS Anomaly
8/1/10,30.0867,TWS Anomaly
9/1/10,-24.0832,TWS Anomaly
10/1/10,-69.8625,TWS Anomaly
11/1/10,-46.7262,TWS Anomaly
12/1/10,-97.5407,TWS Anomaly
1/1/11,,TWS Anomaly
2/1/11,-32.5566,TWS Anomaly
3/1/11,9.8853,TWS Anomaly
4/1/11,-90.4395,TWS Anomaly
5/1/11,-180.147,TWS Anomaly
6/1/11,,TWS Anomaly
7/1/11,-80.3525,TWS Anomaly
8/1/11,-117.8242,TWS Anomaly
9/1/11,-103.0586,TWS Anomaly
10/1/11,-176.3633,TWS Anomaly
11/1/11,-188.229,TWS Anomaly
12/1/11,-39.7393,TWS Anomaly
1/1/12,-114.5953,TWS Anomaly
2/1/12,-46.983,TWS Anomaly
3/1/12,-28.461,TWS Anomaly
4/1/12,-65.085,TWS Anomaly
5/1/12,,TWS Anomaly
6/1/12,-122.7422,TWS Anomaly
7/1/12,-56.6832,TWS Anomaly
8/1/12,-39.876,TWS Anomaly
9/1/12,-69.6211,TWS Anomaly
10/1/12,,TWS Anomaly
11/1/12,-100.6959,TWS Anomaly
12/1/12,-84.4322,TWS Anomaly
1/1/13,55.2974,TWS Anomaly
2/1/13,77.7578,TWS Anomaly
3/1/13,,TWS Anomaly
4/1/13,-52.959,TWS Anomaly
5/1/13,-37.9863,TWS Anomaly
6/1/13,-61.1113,TWS Anomaly
7/1/13,-45.9487,TWS Anomaly
8/1/13,,TWS Anomaly
9/1/13,,TWS Anomaly
10/1/13,-85.8032,TWS Anomaly
11/1/13,-64.4189,TWS Anomaly
12/1/13,-17.8794,TWS Anomaly
1/1/14,15.8252,TWS Anomaly
2/1/14,,TWS Anomaly
3/1/14,-8.583,TWS Anomaly
4/1/14,3.0688,TWS Anomaly
5/1/14,-19.8604,TWS Anomaly
6/1/14,12.2676,TWS Anomaly
7/1/14,,TWS Anomaly
8/1/14,-21.5591,TWS Anomaly
9/1/14,-68.1387,TWS Anomaly
10/1/14,-125.2485,TWS Anomaly
11/1/14,-101.6934,TWS Anomaly
12/1/14,,TWS Anomaly
1/1/15,-17.8115,TWS Anomaly
2/1/15,28.3374,TWS Anomaly
3/1/15,65.1616,TWS Anomaly
4/1/15,79.5059,TWS Anomaly
5/1/15,133.6914,TWS Anomaly
6/1/15,,TWS Anomaly
7/1/15,40.7231,TWS Anomaly
8/1/15,-32.0225,TWS Anomaly
9/1/15,-59.0508,TWS Anomaly
10/1/15,,TWS Anomaly
11/1/15,,TWS Anomaly
12/1/15,167.1685,TWS Anomaly
1/1/16,233.6758,TWS Anomaly
2/1/16,173.1763,TWS Anomaly
3/1/16,219.1719,TWS Anomaly
4/1/16,,TWS Anomaly
5/1/16,190.4287,TWS Anomaly
6/1/16,188.7129,TWS Anomaly
7/1/16,101.0059,TWS Anomaly
8/1/16,183.353,TWS Anomaly
9/1/16,,TWS Anomaly
10/1/16,,TWS Anomaly
11/1/16,-38.4336,TWS Anomaly
12/1/16,88.8442,TWS Anomaly
1/1/17,208.7266,TWS Anomaly
2/1/17,,TWS Anomaly
3/1/17,42.1958,TWS Anomaly
4/1/17,74.6528,TWS Anomaly
5/1/17,-10.9263,TWS Anomaly
6/1/17,161.2402,TWS Anomaly
7/1/17,,TWS Anomaly
8/1/17,,TWS Anomaly
9/1/17,,TWS Anomaly
10/1/17,,TWS Anomaly
11/1/17,,TWS Anomaly
12/1/17,,TWS Anomaly
1/1/18,,TWS Anomaly
2/1/18,,TWS Anomaly
3/1/18,,TWS Anomaly
4/1/18,,TWS Anomaly
5/1/18,,TWS Anomaly
6/1/18,27.8716,TWS Anomaly
7/1/18,71.7402,TWS Anomaly
8/1/18,,TWS Anomaly
9/1/18,,TWS Anomaly
10/1/18,,TWS Anomaly
11/1/18,194.5698,TWS Anomaly
12/1/18,305.2466,TWS Anomaly
1/1/19,350.1543,TWS Anomaly
2/1/19,273.3052,TWS Anomaly
3/1/19,360.5034,TWS Anomaly
4/1/19,269.9536,TWS Anomaly
5/1/19,313.1826,TWS Anomaly
6/1/19,265.4624,TWS Anomaly
7/1/19,309.8022,TWS Anomaly
8/1/19,151.8296,TWS Anomaly
9/1/19,77.3716,TWS Anomaly
10/1/19,110.3691,TWS Anomaly
11/1/19,128.7158,TWS Anomaly
12/1/19,123.811,TWS Anomaly
1/1/20,252.9922,TWS Anomaly
2/1/20,269.4893,TWS Anomaly
3/1/20,278.1924,TWS Anomaly
4/1/20,210.1851,TWS Anomaly
5/1/20,177.6548,TWS Anomaly
6/1/20,167.7383,TWS Anomaly
7/1/20,107.4248,TWS Anomaly
8/1/20,77.123,TWS Anomaly
9/1/20,263.1758,TWS Anomaly
10/1/20,137.2812,TWS Anomaly
11/1/20,67.1152,TWS Anomaly
12/1/20,61.061,TWS Anomaly
1/1/02,-130.0,Trend
2/1/02,-128.72689938398358,Trend
3/1/02,-127.57700205338809,Trend
4/1/02,-126.30390143737164,Trend
5/1/02,-125.07186858316224,Trend
6/1/02,-123.7987679671458,Trend
7/1/02,-122.56673511293631,Trend
8/1/02,-121.2936344969199,Trend
9/1/02,-120.02053388090349,Trend
10/1/02,-118.78850102669404,Trend
11/1/02,-117.5154004106776,Trend
12/1/02,-116.28336755646816,Trend
1/1/03,-115.01026694045174,Trend
2/1/03,-113.73716632443532,Trend
3/1/03,-112.58726899383984,Trend
4/1/03,-111.3141683778234,Trend
5/1/03,-110.08213552361394,Trend
6/1/03,-108.80903490759752,Trend
7/1/03,-107.5770020533881,Trend
8/1/03,-106.30390143737164,Trend
9/1/03,-105.03080082135524,Trend
10/1/03,-103.79876796714578,Trend
11/1/03,-102.52566735112936,Trend
12/1/03,-101.29363449691992,Trend
1/1/04,-100.02053388090349,Trend
2/1/04,-98.74743326488704,Trend
3/1/04,-97.5564681724846,Trend
4/1/04,-96.28336755646816,Trend
5/1/04,-95.05133470225871,Trend
6/1/04,-93.77823408624228,Trend
7/1/04,-92.54620123203286,Trend
8/1/04,-91.27310061601642,Trend
9/1/04,-90.0,Trend
10/1/04,-88.76796714579055,Trend
11/1/04,-87.49486652977413,Trend
12/1/04,-86.26283367556468,Trend
1/1/05,-84.98973305954824,Trend
2/1/05,-83.71663244353181,Trend
3/1/05,-82.56673511293634,Trend
4/1/05,-81.29363449691992,Trend
5/1/05,-80.06160164271046,Trend
6/1/05,-78.78850102669404,Trend
7/1/05,-77.5564681724846,Trend
8/1/05,-76.28336755646816,Trend
9/1/05,-75.01026694045173,Trend
10/1/05,-73.7782340862423,Trend
11/1/05,-72.50513347022587,Trend
12/1/05,-71.27310061601642,Trend
1/1/06,-70.0,Trend
2/1/06,-68.72689938398356,Trend
3/1/06,-67.57700205338809,Trend
4/1/06,-66.30390143737166,Trend
5/1/06,-65.0718685831622,Trend
6/1/06,-63.79876796714578,Trend
7/1/06,-62.56673511293634,Trend
8/1/06,-61.29363449691991,Trend
9/1/06,-60.020533880903486,Trend
10/1/06,-58.78850102669405,Trend
11/1/06,-57.515400410677614,Trend
12/1/06,-56.28336755646817,Trend
1/1/07,-55.01026694045175,Trend
2/1/07,-53.737166324435314,Trend
3/1/07,-52.587268993839835,Trend
4/1/07,-51.314168377823414,Trend
5/1/07,-50.08213552361397,Trend
6/1/07,-48.80903490759754,Trend
7/1/07,-47.577002053388085,Trend
8/1/07,-46.303901437371664,Trend
9/1/07,-45.030800821355236,Trend
10/1/07,-43.79876796714579,Trend
11/1/07,-42.52566735112936,Trend
12/1/07,-41.29363449691992,Trend
1/1/08,-40.0205338809035,Trend
2/1/08,-38.74743326488706,Trend
3/1/08,-37.5564681724846,Trend
4/1/08,-36.28336755646817,Trend
5/1/08,-35.05133470225873,Trend
6/1/08,-33.77823408624231,Trend
7/1/08,-32.546201232032864,Trend
8/1/08,-31.273100616016436,Trend
9/1/08,-30.0,Trend
10/1/08,-28.767967145790557,Trend
11/1/08,-27.49486652977413,Trend
12/1/08,-26.26283367556469,Trend
1/1/09,-24.989733059548257,Trend
2/1/09,-23.716632443531836,Trend
3/1/09,-22.56673511293635,Trend
4/1/09,-21.29363449691991,Trend
5/1/09,-20.06160164271047,Trend
6/1/09,-18.788501026694043,Trend
7/1/09,-17.5564681724846,Trend
8/1/09,-16.28336755646818,Trend
9/1/09,-15.01026694045175,Trend
10/1/09,-13.778234086242293,Trend
11/1/09,-12.505133470225871,Trend
12/1/09,-11.273100616016428,Trend
1/1/10,-10.0,Trend
2/1/10,-8.726899383983577,Trend
3/1/10,-7.57700205338808,Trend
4/1/10,-6.303901437371655,Trend
5/1/10,-5.071868583162226,Trend
6/1/10,-3.7987679671458,Trend
7/1/10,-2.5667351129363425,Trend
8/1/10,-1.2936344969199176,Trend
9/1/10,-0.0205338809034927,Trend
10/1/10,1.2114989733059645,Trend
11/1/10,2.4845995893223893,Trend
12/1/10,3.71663244353182,Trend
1/1/11,4.989733059548245,Trend
2/1/11,6.26283367556467,Trend
3/1/11,7.412731006160165,Trend
4/1/11,8.68583162217659,Trend
5/1/11,9.917864476386049,Trend
6/1/11,11.190965092402472,Trend
7/1/11,12.422997946611902,Trend
8/1/11,13.696098562628327,Trend
9/1/11,14.969199178644752,Trend
10/1/11,16.201232032854207,Trend
11/1/11,17.474332648870636,Trend
12/1/11,18.706365503080093,Trend
1/1/12,19.97946611909651,Trend
2/1/12,21.252566735112943,Trend
3/1/12,22.443531827515404,Trend
4/1/12,23.71663244353183,Trend
5/1/12,24.94866529774129,Trend
6/1/12,26.22176591375771,Trend
7/1/12,27.453798767967143,Trend
8/1/12,28.726899383983564,Trend
9/1/12,29.999999999999993,Trend
10/1/12,31.23203285420945,Trend
11/1/12,32.50513347022587,Trend
12/1/12,33.73716632443533,Trend
1/1/13,35.01026694045176,Trend
2/1/13,36.28336755646818,Trend
3/1/13,37.43326488706365,Trend
4/1/13,38.70636550308007,Trend
5/1/13,39.93839835728953,Trend
6/1/13,41.21149897330596,Trend
7/1/13,42.443531827515415,Trend
8/1/13,43.71663244353184,Trend
9/1/13,44.989733059548264,Trend
10/1/13,46.22176591375769,Trend
11/1/13,47.494866529774114,Trend
12/1/13,48.72689938398357,Trend
1/1/14,50.0,Trend
2/1/14,51.27310061601642,Trend
3/1/14,52.42299794661192,Trend
4/1/14,53.69609856262834,Trend
5/1/14,54.92813141683777,Trend
6/1/14,56.2012320328542,Trend
7/1/14,57.43326488706366,Trend
8/1/14,58.70636550308008,Trend
9/1/14,59.97946611909651,Trend
10/1/14,61.211498973305964,Trend
11/1/14,62.484599589322386,Trend
12/1/14,63.716632443531815,Trend
1/1/15,64.98973305954824,Trend
2/1/15,66.26283367556468,Trend
3/1/15,67.41273100616016,Trend
4/1/15,68.68583162217658,Trend
5/1/15,69.91786447638604,Trend
6/1/15,71.19096509240248,Trend
7/1/15,72.4229979466119,Trend
8/1/15,73.69609856262834,Trend
9/1/15,74.96919917864476,Trend
10/1/15,76.20123203285422,Trend
11/1/15,77.47433264887064,Trend
12/1/15,78.7063655030801,Trend
1/1/16,79.97946611909651,Trend
2/1/16,81.25256673511295,Trend
3/1/16,82.44353182751541,Trend
4/1/16,83.71663244353184,Trend
5/1/16,84.94866529774129,Trend
6/1/16,86.22176591375772,Trend
7/1/16,87.45379876796714,Trend
8/1/16,88.72689938398358,Trend
9/1/16,90.0,Trend
10/1/16,91.23203285420944,Trend
11/1/16,92.50513347022589,Trend
12/1/16,93.73716632443534,Trend
1/1/17,95.01026694045176,Trend
2/1/17,96.2833675564682,Trend
3/1/17,97.43326488706366,Trend
4/1/17,98.70636550308008,Trend
5/1/17,99.93839835728954,Trend
6/1/17,101.21149897330596,Trend
7/1/17,102.4435318275154,Trend
8/1/17,103.71663244353184,Trend
9/1/17,104.98973305954829,Trend
10/1/17,106.2217659137577,Trend
11/1/17,107.49486652977411,Trend
12/1/17,108.72689938398358,Trend
1/1/18,110.0,Trend
2/1/18,111.27310061601644,Trend
3/1/18,112.4229979466119,Trend
4/1/18,113.69609856262832,Trend
5/1/18,114.9281314168378,Trend
6/1/18,116.2012320328542,Trend
7/1/18,117.43326488706366,Trend
8/1/18,118.7063655030801,Trend
9/1/18,119.97946611909651,Trend
10/1/18,121.21149897330596,Trend
11/1/18,122.4845995893224,Trend
12/1/18,123.71663244353184,Trend
1/1/19,124.98973305954829,Trend
2/1/19,126.2628336755647,Trend
3/1/19,127.41273100616016,Trend
4/1/19,128.68583162217658,Trend
5/1/19,129.91786447638606,Trend
6/1/19,131.19096509240248,Trend
7/1/19,132.42299794661193,Trend
8/1/19,133.69609856262838,Trend
9/1/19,134.96919917864477,Trend
10/1/19,136.20123203285422,Trend
11/1/19,137.47433264887067,Trend
12/1/19,138.70636550308006,Trend
1/1/20,139.9794661190965,Trend
2/1/20,141.2525667351129,Trend
3/1/20,142.4435318275154,Trend
4/1/20,143.71663244353184,Trend
5/1/20,144.9486652977413,Trend
6/1/20,146.2217659137577,Trend
7/1/20,147.4537987679672,Trend
8/1/20,148.7268993839836,Trend
9/1/20,150.00000000000003,Trend
10/1/20,151.23203285420942,Trend
11/1/20,152.50513347022584,Trend
12/1/20,153.73716632443532,Trend
